epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,6143.23,1.2259,1.25964,0.01401,0.739,0.68712,0.72143,0.46119,1.20071,1.21698,0.01763,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,6246.73,1.22588,1.25596,0.01423,0.77509,0.69276,0.73476,0.47724,1.16266,1.14844,0.01683,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,6350.48,1.22487,1.23664,0.01411,0.74005,0.69595,0.7197,0.45884,1.2254,1.14141,0.01809,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,6453.27,1.21463,1.22704,0.0139,0.72496,0.72673,0.71597,0.45723,1.21726,1.16809,0.01809,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,6556.73,1.21127,1.23163,0.01384,0.76409,0.70717,0.73322,0.4676,1.20216,1.13695,0.01788,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,6659.39,1.20938,1.21874,0.01391,0.73884,0.73307,0.74037,0.46663,1.21026,1.09511,0.01772,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,6762.08,1.21283,1.23005,0.01388,0.76542,0.71417,0.7412,0.47701,1.20157,1.11409,0.0178,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,6864.83,1.20956,1.20546,0.01388,0.74968,0.70349,0.73169,0.47911,1.18528,1.13104,0.01747,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,6967.32,1.2072,1.22098,0.01388,0.73994,0.69741,0.73021,0.47779,1.18533,1.11231,0.01727,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,7070.5,1.19973,1.21372,0.01369,0.75595,0.70709,0.73906,0.48151,1.1605,1.10579,0.01666,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,7173.79,1.19471,1.21101,0.01373,0.73312,0.7042,0.72861,0.47714,1.19291,1.12032,0.0175,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,7277.82,1.18831,1.20625,0.0136,0.75524,0.70181,0.73198,0.47049,1.19084,1.16364,0.01731,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,7381.76,1.18907,1.18939,0.01346,0.75862,0.68735,0.73125,0.47982,1.19024,1.13933,0.01743,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,7484.92,1.19632,1.18989,0.0135,0.77761,0.68111,0.73063,0.48006,1.18458,1.14999,0.01736,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,7587.72,1.18655,1.19014,0.01361,0.75918,0.71251,0.73792,0.48169,1.16845,1.11559,0.01694,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,7690.91,1.19225,1.19022,0.01358,0.75655,0.72048,0.74397,0.49159,1.16212,1.10357,0.01688,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,7795.69,1.18335,1.17944,0.01334,0.75317,0.722,0.73061,0.48061,1.15596,1.0939,0.01691,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,7900.04,1.18369,1.17093,0.01343,0.74786,0.71469,0.72747,0.47801,1.16956,1.12365,0.01722,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,8003.97,1.16272,1.14415,0.01321,0.76485,0.69586,0.72375,0.47821,1.16669,1.16518,0.01729,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,8107.94,1.1742,1.15011,0.01328,0.75,0.71851,0.72847,0.48384,1.16895,1.13274,0.01713,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,8211.7,1.1772,1.15291,0.01326,0.77933,0.70355,0.7415,0.48438,1.17873,1.13525,0.01721,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,8314.46,1.17405,1.14924,0.01322,0.76103,0.70601,0.72889,0.48049,1.16091,1.13765,0.01683,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
81,8418.39,1.16195,1.14585,0.01316,0.74124,0.712,0.71988,0.46948,1.18336,1.12933,0.01736,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
82,8523.52,1.16006,1.13656,0.01304,0.73458,0.72525,0.72665,0.47836,1.17816,1.09784,0.01734,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055,0.0195165,0.0065055
83,8627.16,1.16335,1.14171,0.01303,0.76129,0.70271,0.73061,0.48525,1.16352,1.156,0.01668,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
84,8729.89,1.14798,1.12408,0.01287,0.76655,0.72054,0.73429,0.49326,1.13962,1.09793,0.01613,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617,0.0190685,0.00635617
85,8832.99,1.16172,1.1304,0.01304,0.73143,0.72667,0.73381,0.48208,1.14858,1.11983,0.01642,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
86,8936.54,1.14806,1.11091,0.01305,0.75006,0.71126,0.7272,0.47532,1.1533,1.16585,0.01639,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
